T,t
6.4,0
6.4,0.25
6.4,0.5
6.4,0.75
6.4,1
6.4,1.25
6.4,1.5
6.6,1.75
6.6,2
6.6,2.25
6.7,2.5
6.8,2.75
6.8,3
6.8,3.25
6.9,3.5
6.9,3.75
7,4
7,4.25
7.1,4.5
7.1,4.75
7.2,5
7.2,5.25
7.3,5.5
7.3,5.75
7.4,6
7.4,6.25
7.5,6.5
7.5,6.75
7.5,7
7.6,7.25
7.6,7.5
7.7,7.75
7.7,8
7.7,8.25
7.8,8.5
7.8,8.75
7.9,9
7.9,9.25
8,9.5
8,9.75
8,10
8.1,10.25
8.1,10.5
8.2,10.75
8.2,11
8.3,11.25
8.3,11.5
8.3,11.75
8.4,12
8.4,12.25
8.5,12.5
8.5,12.75
8.5,13
8.6,13.25
8.6,13.5
8.7,13.75
8.7,14
8.8,14.25
8.8,14.5
8.8,14.75
8.9,15
8.9,15.25
9,15.5
9,15.75
9,16
9.1,16.25
9.1,16.5
9.1,16.75
9.2,17
9.3,17.25
9.3,17.5
NA,17.75
9.3,18
9.4,18.25
9.5,18.5
9.6,18.75
9.6,19
9.7,19.25
9.7,19.5
9.7,19.75
9.8,20
9.8,20.25
9.9,20.5
9.9,20.75
9.9,21
10,21.25
10,21.5
10.1,21.75
10.1,22
10.2,22.25
10.2,22.5
10.3,22.75
10.3,23
10.3,23.25
10.4,23.5
10.4,23.75
10.5,24
10.5,24.25
10.5,24.5
10.6,24.75
10.6,25
10.5,25.25
10.7,25.5
10.7,25.75
10.8,26
10.8,26.25
10.8,26.5
10.8,26.75
10.9,27
11,27.25
11,27.5
11,27.75
11,28
11.1,28.25
11.1,28.5
11.1,28.75
11.2,29
11.2,29.25
11.2,29.5
11.3,29.75
11.3,30
11.4,30.25
11.4,30.5
NA,30.75
NA,31
NA,31.25
NA,31.5
NA,31.75
NA,32
NA,32.25
NA,32.5
NA,32.75
NA,33
NA,33.25
NA,33.5
NA,33.75
NA,34
NA,34.25
NA,34.5
NA,34.75
NA,35
NA,35.25
NA,35.5
NA,35.75
NA,36
NA,36.25
NA,36.5
NA,36.75
NA,37
NA,37.25
NA,37.5
NA,37.75
NA,38
NA,38.25
NA,38.5
NA,38.75
NA,39
NA,39.25
NA,39.5
NA,39.75
NA,40
NA,40.25
NA,40.5
NA,40.75
NA,41
NA,41.25
NA,41.5
NA,41.75
12.8,42
12.9,42.25
12.9,42.5
12.9,42.75
12.9,43
13,43.25
13,43.5
13,43.75
13.1,44
13.1,44.25
13.1,44.5
13.2,44.75
13.2,45
13.2,45.25
13.3,45.5
13.3,45.75
13.3,46
13.3,46.25
13.3,46.5
13.4,46.75
13.4,47
13.4,47.25
13.5,47.5
13.5,47.75
13.5,48
13.5,48.25
13.6,48.5
13.6,48.75
13.6,49
13.6,49.25
13.6,49.5
13.7,49.75
13.7,50
13.7,50.25
13.8,50.5
13.8,50.75
13.8,51
13.9,51.25
13.9,51.5
13.9,51.75
13.9,52
13.9,52.25
14,52.5
14,52.75
14,53
14.1,53.25
14.1,53.5
14.1,53.75
14.1,54
14.2,54.25
14.2,54.5
14.2,54.75
14.2,55
14.3,55.25
14.3,55.5
14.3,55.75
14.3,56
14.3,56.25
14.4,56.5
14.4,56.75
14.4,57
14.4,57.25
14.5,57.5
14.5,57.75
14.5,58
14.5,58.25
14.5,58.5
14.6,58.75
14.6,59
14.6,59.25
14.6,59.5
14.7,59.75
14.7,60
14.7,60.25
14.7,60.5
14.7,60.75
14.8,61
14.8,61.25
14.8,61.5
14.8,61.75
14.8,62
14.9,62.25
14.9,62.5
14.9,62.75
14.9,63
14.9,63.25
14.9,63.5
15,63.75
15,64
15,64.25
15,64.5
15.1,64.75
15.1,65
15.1,65.25
15.1,65.5
15.1,65.75
15.2,66
15.2,66.25
15.2,66.5
