"n" "m" "Ta" "T0" "T" "t" "Delta T" "Delta t"
"1" 1 NA NA NA 88.6 0 NA NA
"2" 2 NA NA NA 83.5 1 NA NA
"3" 3 NA NA NA 79.9 2 NA NA
"4" 4 NA NA NA 76.4 3 NA NA
"5" 5 NA NA NA 73.2 4 NA NA
"6" 6 NA NA NA 70.7 5 NA NA
"7" 7 NA NA NA 68.4 6 NA NA
"8" 8 NA NA NA 66.2 7 NA NA
"9" 9 NA NA NA 64.2 8 NA NA
"10" 10 NA NA NA 62.7 9 NA NA
"11" 11 NA NA NA 60.9 10 NA NA
"12" 12 NA NA NA 59.5 11 NA NA
"13" 13 NA NA NA 58.1 12 NA NA
"14" 14 NA NA NA 56.8 13 NA NA
"15" 15 NA NA NA 55.3 14 NA NA
"16" 16 NA NA NA 54.2 15 NA NA
"17" 17 NA NA NA 53.1 16 NA NA
"18" 18 NA NA NA 52.1 17 NA NA
"19" 19 NA NA NA 51.3 18 NA NA
"20" 20 NA NA NA 50.2 19 NA NA
"21" 21 NA NA NA 49.4 20 NA NA
"22" 22 NA NA NA 48.4 21 NA NA
"23" 23 NA NA NA 47.7 22 NA NA
"24" 24 NA NA NA 47.1 23 NA NA
"25" 25 NA NA NA 46.2 24 NA NA
"26" 26 NA NA NA 45.6 25 NA NA
"27" 27 NA NA NA 44.9 26 NA NA
"28" 28 NA NA NA 44.1 27 NA NA
"29" 29 NA NA NA 43.7 28 NA NA
"30" 30 NA NA NA 43.1 29 NA NA
"31" 31 104.7 295.75 361.75 42.6 30 0.1 1
"32" 32 NA NA NA 42.1 31 NA NA
"33" 33 NA NA NA 41.5 32 NA NA
"34" 34 NA NA NA 41 33 NA NA
"35" 35 NA NA NA 40.4 34 NA NA
"36" 36 NA NA NA 40.1 35 NA NA
"37" 37 NA NA NA 39.5 36 NA NA
"38" 38 NA NA NA 39.2 37 NA NA
"39" 39 NA NA NA 38.8 38 NA NA
"40" 40 NA NA NA 38.5 39 NA NA
"41" 41 NA NA NA 38 40 NA NA
"42" 42 NA NA NA 37.5 41 NA NA
"43" 43 NA NA NA 37.3 42 NA NA
"44" 44 NA NA NA 36.9 43 NA NA
"45" 45 NA NA NA 36.7 44 NA NA
"46" 46 NA NA NA 36.3 45 NA NA
"47" 47 NA NA NA 36 46 NA NA
"48" 48 NA NA NA 35.6 47 NA NA
"49" 49 NA NA NA 35.3 48 NA NA
"50" 50 NA NA NA 34.9 49 NA NA
"51" 51 NA NA NA 34.7 50 NA NA
"52" 52 NA NA NA 34.4 51 NA NA
"53" 53 NA NA NA 34.2 52 NA NA
"54" 54 NA NA NA 33.9 53 NA NA
"55" 55 NA NA NA 33.5 54 NA NA
"56" 56 NA NA NA 33.3 55 NA NA
"57" 57 NA NA NA 33 56 NA NA
"58" 58 NA NA NA 32.9 57 NA NA
"59" 59 NA NA NA 32.8 58 NA NA
"60" 60 NA NA NA 32.8 59 NA NA
"61" 61 NA NA NA 32.5 60 NA NA
